ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes
24,inc-av-024,Zoox,2023-09-11,safety failure,"Zoox filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/zoox_09112023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
25,inc-av-025,Beep,2023-08-23,safety failure,"Beep filed a California autonomous-vehicle collision report for a reportable crash involving an automated shuttle or vehicle.",,"https://www.dmv.ca.gov/portal/file/beep_inc_08232023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",REVIEW,medium,"DMV collision report + NHTSA ADS archive; filename pattern should be checked during import."
26,inc-av-026,Waymo,2023-09-03,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_09032023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
27,inc-av-027,Waymo,2023-08-24,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_08242023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
28,inc-av-028,Waymo,2023-08-23,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_08232023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
29,inc-av-029,Mercedes Benz,2023-08-18,safety failure,"Mercedes Benz filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving test vehicle.",,"https://www.dmv.ca.gov/portal/file/mercedes_benz_08182023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
30,inc-av-030,Waymo,2023-08-20,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_08202023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
31,inc-av-031,Waymo,2023-08-19,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_08192023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
32,inc-av-032,Zoox,2023-08-16,safety failure,"Zoox filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/zoox_08162023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
33,inc-av-033,Cruise,2023-08-18,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_08182023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
34,inc-av-034,Cruise,2023-08-17,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_08172023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
35,inc-av-035,Cruise,2023-08-14,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_08142023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
36,inc-av-036,Cruise,2023-08-08,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_08082023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
37,inc-av-037,Waymo,2023-08-17,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_08172023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
38,inc-av-038,Waymo,2023-08-13,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_08132023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
39,inc-av-039,Ghost Autonomy,2023-08-14,safety failure,"Ghost Autonomy filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/ghostautonomy_08142023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
40,inc-av-040,Waymo,2023-08-11,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_08112023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
41,inc-av-041,WeRide,2023-08-11,safety failure,"WeRide filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/weride_08112023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
42,inc-av-042,Waymo,2023-08-02,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_08022023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
43,inc-av-043,Waymo,2023-07-29,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_07292023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
44,inc-av-044,Cruise,2023-07-30,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_07302023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
45,inc-av-045,Cruise,2023-07-28,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_07282023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
46,inc-av-046,Waymo,2023-07-25,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_07252023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
47,inc-av-047,Waymo,2023-07-22,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_07222023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
48,inc-av-048,Waymo,2023-07-21,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_07212023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
49,inc-av-049,Nuro,2023-07-24,safety failure,"Nuro filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/nuro_07242023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
50,inc-av-050,Cruise,2023-07-21,safety failure,"Cruise filed a California autonomous-vehicle collision report for one of two reportable crashes listed on July 21.",,"https://www.dmv.ca.gov/portal/file/cruise_07212023-a-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive; listed as Cruise July 21 A."
51,inc-av-051,Cruise,2023-07-21,safety failure,"Cruise filed a California autonomous-vehicle collision report for a second reportable crash listed on July 21.",,"https://www.dmv.ca.gov/portal/file/cruise_07212023-b-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive; listed as Cruise July 21 B."
52,inc-av-052,Waymo,2023-07-11,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_07112023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
53,inc-av-053,Waymo,2023-07-08,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_07082023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
54,inc-av-054,Waymo,2023-07-03,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_07032023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
55,inc-av-055,Cruise,2023-07-02,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_07022023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
56,inc-av-056,Waymo,2023-06-29,safety failure,"Waymo filed a California autonomous-vehicle collision report for one of two reportable crashes listed on June 29.",,"https://www.dmv.ca.gov/portal/file/waymo_062923-1-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive; listed as Waymo June 29 1."
57,inc-av-057,Waymo,2023-06-29,safety failure,"Waymo filed a California autonomous-vehicle collision report for a second reportable crash listed on June 29.",,"https://www.dmv.ca.gov/portal/file/waymo_06292023-2-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive; listed as Waymo June 29 2."
58,inc-av-058,Waymo,2023-06-28,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_06282023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
59,inc-av-059,Cruise,2023-06-29,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_06292023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
60,inc-av-060,Cruise,2023-06-24,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_06242023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
61,inc-av-061,Cruise,2023-06-17,safety failure,"Cruise filed a California autonomous-vehicle collision report for one of two reportable crashes listed on June 17.",,"https://www.dmv.ca.gov/portal/file/cruise_061723-2-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive; listed as Cruise June 17 2."
62,inc-av-062,Zoox,2023-06-18,safety failure,"Zoox filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/zoox_06182023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
63,inc-av-063,Waymo,2023-06-18,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_06182023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
64,inc-av-064,Cruise,2023-06-17,safety failure,"Cruise filed a California autonomous-vehicle collision report for another reportable crash listed on June 17.",,"https://www.dmv.ca.gov/portal/file/cruise_061723-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive; listed as Cruise June 17 1."
65,inc-av-065,Cruise,2023-06-15,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_06152023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
66,inc-av-066,Waymo,2023-06-11,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_06112023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
67,inc-av-067,Cruise,2023-06-09,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_06092023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
68,inc-av-068,Cruise,2023-06-08,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_06082023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
69,inc-av-069,Waymo,2023-06-09,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_06092023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
